subsector,country_code,unit,carrier,year,0
Chemicals Industry,AL,twh,biofuel,2000,0.0
Chemicals Industry,AL,twh,biofuel,2001,0.0
Chemicals Industry,AL,twh,biofuel,2002,0.0
Chemicals Industry,AL,twh,biofuel,2003,0.0
Chemicals Industry,AL,twh,biofuel,2004,0.0
Chemicals Industry,AL,twh,biofuel,2005,0.0
Chemicals Industry,AL,twh,biofuel,2006,0.0
Chemicals Industry,AL,twh,biofuel,2007,0.0
Chemicals Industry,AL,twh,biofuel,2008,0.0
Chemicals Industry,AL,twh,biofuel,2009,0.0
Chemicals Industry,AL,twh,biofuel,2010,0.0
Chemicals Industry,AL,twh,biofuel,2011,0.0
Chemicals Industry,AL,twh,biofuel,2012,0.0
Chemicals Industry,AL,twh,biofuel,2013,0.0
Chemicals Industry,AL,twh,biofuel,2014,0.0
Chemicals Industry,AL,twh,biofuel,2015,0.0
Chemicals Industry,AL,twh,biofuel,2016,0.0
Chemicals Industry,AL,twh,biofuel,2017,0.0
Chemicals Industry,AL,twh,biofuel,2018,0.0
Chemicals Industry,AT,twh,biofuel,2000,1.156722126
Chemicals Industry,AT,twh,biofuel,2001,0.9167682443999999
Chemicals Industry,AT,twh,biofuel,2002,1.1803287
Chemicals Industry,AT,twh,biofuel,2003,1.7888228604
Chemicals Industry,AT,twh,biofuel,2004,1.9987825067999996
Chemicals Industry,AT,twh,biofuel,2005,1.3232437321691999
Chemicals Industry,AT,twh,biofuel,2006,1.1914740578964
Chemicals Industry,AT,twh,biofuel,2007,1.2206267881644
Chemicals Industry,AT,twh,biofuel,2008,1.2407693057232
Chemicals Industry,AT,twh,biofuel,2009,1.094611841184
Chemicals Industry,AT,twh,biofuel,2010,1.502791723596
Chemicals Industry,AT,twh,biofuel,2011,1.3878213205548
Chemicals Industry,AT,twh,biofuel,2012,1.4973813745595999
Chemicals Industry,AT,twh,biofuel,2013,1.2064858948896
Chemicals Industry,AT,twh,biofuel,2014,1.120837356276
Chemicals Industry,AT,twh,biofuel,2015,1.0910325291168
Chemicals Industry,AT,twh,biofuel,2016,1.2329658055319999
Chemicals Industry,AT,twh,biofuel,2017,1.2179861845692
Chemicals Industry,AT,twh,biofuel,2018,1.1899101918
Chemicals Industry,BA,twh,biofuel,2000,0.0
Chemicals Industry,BA,twh,biofuel,2001,0.0
Chemicals Industry,BA,twh,biofuel,2002,0.0
Chemicals Industry,BA,twh,biofuel,2003,0.0
Chemicals Industry,BA,twh,biofuel,2004,0.0
Chemicals Industry,BA,twh,biofuel,2005,0.0
Chemicals Industry,BA,twh,biofuel,2006,0.0
Chemicals Industry,BA,twh,biofuel,2007,0.0
Chemicals Industry,BA,twh,biofuel,2008,0.0
Chemicals Industry,BA,twh,biofuel,2009,0.0
Chemicals Industry,BA,twh,biofuel,2010,0.0
Chemicals Industry,BA,twh,biofuel,2011,0.0
Chemicals Industry,BA,twh,biofuel,2012,0.0
Chemicals Industry,BA,twh,biofuel,2013,0.0
Chemicals Industry,BA,twh,biofuel,2014,0.0
Chemicals Industry,BA,twh,biofuel,2015,0.0
Chemicals Industry,BA,twh,biofuel,2016,0.0
Chemicals Industry,BA,twh,biofuel,2017,0.0
Chemicals Industry,BA,twh,biofuel,2018,0.0
Chemicals Industry,BE,twh,biofuel,2000,0.0
Chemicals Industry,BE,twh,biofuel,2001,0.0
Chemicals Industry,BE,twh,biofuel,2002,0.0
Chemicals Industry,BE,twh,biofuel,2003,0.0
Chemicals Industry,BE,twh,biofuel,2004,0.0
Chemicals Industry,BE,twh,biofuel,2005,0.0
Chemicals Industry,BE,twh,biofuel,2006,0.0
Chemicals Industry,BE,twh,biofuel,2007,0.0
Chemicals Industry,BE,twh,biofuel,2008,0.0
Chemicals Industry,BE,twh,biofuel,2009,0.046379974799999994
Chemicals Industry,BE,twh,biofuel,2010,0.250646271
Chemicals Industry,BE,twh,biofuel,2011,0.33621315863999995
Chemicals Industry,BE,twh,biofuel,2012,0.30535797779999996
Chemicals Industry,BE,twh,biofuel,2013,0.31077360359999995
Chemicals Industry,BE,twh,biofuel,2014,0.24520287275999997
Chemicals Industry,BE,twh,biofuel,2015,0.14233375499999998
Chemicals Industry,BE,twh,biofuel,2016,0.0773462454
Chemicals Industry,BE,twh,biofuel,2017,0.06718153235999999
Chemicals Industry,BE,twh,biofuel,2018,0.06676494576
Chemicals Industry,BG,twh,biofuel,2000,0.0197184324
Chemicals Industry,BG,twh,biofuel,2001,0.25939458959999995
Chemicals Industry,BG,twh,biofuel,2002,0.24995195999999997
Chemicals Industry,BG,twh,biofuel,2003,0.38492601839999996
Chemicals Industry,BG,twh,biofuel,2004,0.42214108799999994
Chemicals Industry,BG,twh,biofuel,2005,0.46963196039999994
Chemicals Industry,BG,twh,biofuel,2006,0.48268500719999996
Chemicals Industry,BG,twh,biofuel,2007,0.31966078439999995
Chemicals Industry,BG,twh,biofuel,2008,0.0002777244
Chemicals Industry,BG,twh,biofuel,2009,0.0002777244
Chemicals Industry,BG,twh,biofuel,2010,0.0005554488
Chemicals Industry,BG,twh,biofuel,2011,0.0002777244
Chemicals Industry,BG,twh,biofuel,2012,0.0005554488
Chemicals Industry,BG,twh,biofuel,2013,0.009720353999999999
Chemicals Industry,BG,twh,biofuel,2014,0.0788737296
Chemicals Industry,BG,twh,biofuel,2015,0.1258091532
Chemicals Industry,BG,twh,biofuel,2016,0.0091649052
Chemicals Industry,BG,twh,biofuel,2017,0.15916302046679998
Chemicals Industry,BG,twh,biofuel,2018,0.0766749855252
Chemicals Industry,CH,twh,biofuel,2000,0.5341307589287687
Chemicals Industry,CH,twh,biofuel,2001,0.5341307589287687
Chemicals Industry,CH,twh,biofuel,2002,0.5341307589287687
Chemicals Industry,CH,twh,biofuel,2003,0.7072496545636147
Chemicals Industry,CH,twh,biofuel,2004,1.0306844502768833
Chemicals Industry,CH,twh,biofuel,2005,1.0222950862424727
Chemicals Industry,CH,twh,biofuel,2006,1.1417442844729753
Chemicals Industry,CH,twh,biofuel,2007,1.1055639358916587
Chemicals Industry,CH,twh,biofuel,2008,1.1286117333978978
Chemicals Industry,CH,twh,biofuel,2009,1.0682240856630014
Chemicals Industry,CH,twh,biofuel,2010,1.1548276575554681
Chemicals Industry,CH,twh,biofuel,2011,1.071951684289313
Chemicals Industry,CH,twh,biofuel,2012,1.1983480423783346
Chemicals Industry,CH,twh,biofuel,2013,1.0755635908104035
